,ds,y
0,2013-07-01,5525022
1,2013-07-02,2554548
2,2013-07-03,5953867
3,2013-07-04,6410729
4,2013-07-05,2763587
5,2013-07-06,1616635
6,2013-07-07,3982735
7,2013-07-08,8347729
8,2013-07-09,3473059
9,2013-07-10,2597169
10,2013-07-11,3508800
11,2013-07-12,8492573
12,2013-07-13,3482829
13,2013-07-14,2784107
14,2013-07-15,13107943
15,2013-07-16,11864981
16,2013-07-17,10911513
17,2013-07-18,11765356
18,2013-07-19,9244769
19,2013-07-20,4601143
20,2013-07-21,2681331
21,2013-07-22,19144267
22,2013-07-23,24404051
23,2013-07-24,36258592
24,2013-07-25,38212836
25,2013-07-26,39192369
26,2013-07-27,15058893
27,2013-07-28,7683211
28,2013-07-29,18599364
29,2013-07-30,13048582
30,2013-07-31,9534040
31,2013-08-01,18864468
32,2013-08-02,40150769
33,2013-08-03,20701797
34,2013-08-04,8263965
35,2013-08-05,15797507
36,2013-08-06,16401387
37,2013-08-07,29708706
38,2013-08-08,29551691
39,2013-08-09,30131015
40,2013-08-10,26614408
41,2013-08-11,15372680
42,2013-08-12,28586669
43,2013-08-13,28790328
44,2013-08-14,15031683
45,2013-08-15,52659327
46,2013-08-16,33739844
47,2013-08-17,4674983
48,2013-08-18,15218300
49,2013-08-19,28339260
50,2013-08-20,30131225
51,2013-08-21,29983342
52,2013-08-22,25000672
53,2013-08-23,25680323
54,2013-08-24,14316598
55,2013-08-25,18117808
56,2013-08-26,20637986
57,2013-08-27,60137633
58,2013-08-28,33696861
59,2013-08-29,35944968
60,2013-08-30,20630752
61,2013-08-31,22012016
62,2013-09-01,59339949
63,2013-09-02,17785524
64,2013-09-03,39328144
65,2013-09-04,27452600
66,2013-09-05,21800904
67,2013-09-06,33417903
68,2013-09-07,20344424
69,2013-09-08,14919122
70,2013-09-09,45621186
71,2013-09-10,37128363
72,2013-09-11,71674082
73,2013-09-12,45147220
74,2013-09-13,60512675
75,2013-09-14,36312660
76,2013-09-15,25020715
77,2013-09-16,45184589
78,2013-09-17,58260798
79,2013-09-18,47203221
80,2013-09-19,11418512
81,2013-09-20,15188254
82,2013-09-21,26596179
83,2013-09-22,47962055
84,2013-09-23,58285879
85,2013-09-24,56680792
86,2013-09-25,74838162
87,2013-09-26,48467529
88,2013-09-27,27639603
89,2013-09-28,58105720
90,2013-09-29,40295202
91,2013-09-30,30181353
92,2013-10-01,12813267
93,2013-10-02,7233874
94,2013-10-03,6223263
95,2013-10-04,23412350
96,2013-10-05,13966453
97,2013-10-06,13464528
98,2013-10-07,28894400
99,2013-10-08,77856096
100,2013-10-09,33999376
101,2013-10-10,52244531
102,2013-10-11,27666473
103,2013-10-12,31322983
104,2013-10-13,31850475
105,2013-10-14,40652625
106,2013-10-15,35099198
107,2013-10-16,51261982
108,2013-10-17,23274764
109,2013-10-18,15938355
110,2013-10-19,26684697
111,2013-10-20,50884342
112,2013-10-21,45781403
113,2013-10-22,96172537
114,2013-10-23,73788462
115,2013-10-24,58183921
116,2013-10-25,52225802
117,2013-10-26,49357211
118,2013-10-27,46520570
119,2013-10-28,55089464
120,2013-10-29,43052468
121,2013-10-30,63908701
122,2013-10-31,55607833
123,2013-11-01,66933119
124,2013-11-02,26705506
125,2013-11-03,30895754
126,2013-11-04,130970051
127,2013-11-05,82689864
128,2013-11-06,131707820
129,2013-11-07,83306452
130,2013-11-08,92856307
131,2013-11-09,45885771
132,2013-11-10,85293644
133,2013-11-11,227124951
134,2013-11-12,131263524
135,2013-11-13,79121440
136,2013-11-14,52554150
137,2013-11-15,58210254
138,2013-11-16,28996272
139,2013-11-17,42358155
140,2013-11-18,136916782
141,2013-11-19,70308235
142,2013-11-20,86951218
143,2013-11-21,74733962
144,2013-11-22,82717921
145,2013-11-23,48882131
146,2013-11-24,85555947
147,2013-11-25,70113127
148,2013-11-26,65802983
149,2013-11-27,86129498
150,2013-11-28,61453591
151,2013-11-29,123982166
152,2013-11-30,119660311
153,2013-12-01,94632233
154,2013-12-02,128465086
155,2013-12-03,101662045
156,2013-12-04,69981329
157,2013-12-05,118256819
158,2013-12-06,82625571
159,2013-12-07,71916047
160,2013-12-08,76314292
161,2013-12-09,133355299
162,2013-12-10,147147341
163,2013-12-11,110314592
164,2013-12-12,92090275
165,2013-12-13,90778214
166,2013-12-14,52234651
167,2013-12-15,54757146
168,2013-12-16,156157326
169,2013-12-17,116537843
170,2013-12-18,202220872
171,2013-12-19,164023344
172,2013-12-20,153678963
173,2013-12-21,83151594
174,2013-12-22,83998249
175,2013-12-23,138478245
176,2013-12-24,118607911
177,2013-12-25,172755480
178,2013-12-26,241852564
179,2013-12-27,163522548
180,2013-12-28,61383220
181,2013-12-29,55129989
182,2013-12-30,179826624
183,2013-12-31,134232530
184,2014-01-01,77367755
185,2014-01-02,190155450
186,2014-01-03,127714255
187,2014-01-04,99869074
188,2014-01-05,156781996
189,2014-01-06,190917629
190,2014-01-07,137972793
191,2014-01-08,213880074
192,2014-01-09,140391237
193,2014-01-10,117259153
194,2014-01-11,71530182
195,2014-01-12,141505812
196,2014-01-13,178923772
197,2014-01-14,159778389
198,2014-01-15,177618247
199,2014-01-16,153167426
200,2014-01-17,127385210
201,2014-01-18,142869842
202,2014-01-19,117629351
203,2014-01-20,442996084
204,2014-01-21,302825136
205,2014-01-22,292856188
206,2014-01-23,209024328
207,2014-01-24,345829001
208,2014-01-25,185524856
209,2014-01-26,331752519
210,2014-01-27,280645861
211,2014-01-28,248334316
212,2014-01-29,215164666
213,2014-01-30,105288105
214,2014-01-31,48132389
215,2014-02-01,61527060
216,2014-02-02,24395720
217,2014-02-03,46109194
218,2014-02-04,44927333
219,2014-02-05,95407704
220,2014-02-06,111635336
221,2014-02-07,273482213
222,2014-02-08,183432237
223,2014-02-09,262954049
224,2014-02-10,431753411
225,2014-02-11,243058162
226,2014-02-12,354585919
227,2014-02-13,362757986
228,2014-02-14,263261899
229,2014-02-15,121463693
230,2014-02-16,183057224
231,2014-02-17,405809267
232,2014-02-18,271125324
233,2014-02-19,323990451
234,2014-02-20,230855410
235,2014-02-21,178914448
236,2014-02-22,134735118
237,2014-02-23,195214052
238,2014-02-24,473470156
239,2014-02-25,299155352
240,2014-02-26,284819682
241,2014-02-27,492786036
242,2014-02-28,322030204
243,2014-03-01,211279011
244,2014-03-02,246199417
245,2014-03-03,513017360
246,2014-03-04,250562978
247,2014-03-05,209072753
248,2014-03-06,243149884
249,2014-03-07,291087220
250,2014-03-08,140323202
251,2014-03-09,206312503
252,2014-03-10,308040624
253,2014-03-11,496039886
254,2014-03-12,416491268
255,2014-03-13,316973542
256,2014-03-14,311575572
257,2014-03-15,242799048
258,2014-03-16,390584547
259,2014-03-17,440624592
260,2014-03-18,410240726
261,2014-03-19,429298917
262,2014-03-20,336076380
263,2014-03-21,259655286
264,2014-03-22,138039412
265,2014-03-23,186443311
266,2014-03-24,437825259
267,2014-03-25,312710515
268,2014-03-26,450254233
269,2014-03-27,359071642
270,2014-03-28,405443946
271,2014-03-29,155006056
272,2014-03-30,264714811
273,2014-03-31,423852634
274,2014-04-01,277429358
275,2014-04-02,272612066
276,2014-04-03,266605457
277,2014-04-04,200192637
278,2014-04-05,163199682
279,2014-04-06,139576683
280,2014-04-07,176966561
281,2014-04-08,250015131
282,2014-04-09,289330278
283,2014-04-10,286914864
284,2014-04-11,277077434
285,2014-04-12,123295320
286,2014-04-13,178934722
287,2014-04-14,415986984
288,2014-04-15,285293076
289,2014-04-16,255914640
290,2014-04-17,265341592
291,2014-04-18,225952909
292,2014-04-19,146374940
293,2014-04-20,161057781
294,2014-04-21,295635256
295,2014-04-22,268810141
296,2014-04-23,278470936
297,2014-04-24,224536754
298,2014-04-25,227764292
299,2014-04-26,158122962
300,2014-04-27,191915377
301,2014-04-28,327724735
302,2014-04-29,307578349
303,2014-04-30,281835975
304,2014-05-01,143362755
305,2014-05-02,121222064
306,2014-05-03,199568043
307,2014-05-04,413222034
308,2014-05-05,309330781
309,2014-05-06,341108696
310,2014-05-07,239372999
311,2014-05-08,273187499
312,2014-05-09,247743971
313,2014-05-10,147248328
314,2014-05-11,152945581
315,2014-05-12,293952908
316,2014-05-13,257918375
317,2014-05-14,316225442
318,2014-05-15,238307643
319,2014-05-16,282094916
320,2014-05-17,145854372
321,2014-05-18,153440019
322,2014-05-19,293791406
323,2014-05-20,260040720
324,2014-05-21,250223726
325,2014-05-22,251108485
326,2014-05-23,229000787
327,2014-05-24,154409868
328,2014-05-25,231004758
329,2014-05-26,274707572
330,2014-05-27,321965845
331,2014-05-28,415891684
332,2014-05-29,313827800
333,2014-05-30,312802179
334,2014-05-31,142862063
335,2014-06-01,149829253
336,2014-06-02,170409506
337,2014-06-03,385622582
338,2014-06-04,303978838
339,2014-06-05,355645445
340,2014-06-06,274862067
341,2014-06-07,146203577
342,2014-06-08,169525332
343,2014-06-09,287520152
344,2014-06-10,298190025
345,2014-06-11,246127540
346,2014-06-12,236467885
347,2014-06-13,386799040
348,2014-06-14,229916191
349,2014-06-15,116623756
350,2014-06-16,492349489
351,2014-06-17,502560223
352,2014-06-18,421920230
353,2014-06-19,284956260
354,2014-06-20,286583065
355,2014-06-21,231003775
356,2014-06-22,361285652
357,2014-06-23,373779624
358,2014-06-24,428471509
359,2014-06-25,547295931
360,2014-06-26,418742109
361,2014-06-27,399444352
362,2014-06-28,283400236
363,2014-06-29,261170799
364,2014-06-30,456547794
365,2014-07-01,374164541
366,2014-07-02,328950951
367,2014-07-03,289009780
368,2014-07-04,264494550
369,2014-07-05,272535138
370,2014-07-06,195530758
371,2014-07-07,317612569
372,2014-07-08,340453063
373,2014-07-09,269642881
374,2014-07-10,326009240
375,2014-07-11,240050748
376,2014-07-12,149081488
377,2014-07-13,199459990
378,2014-07-14,284753279
379,2014-07-15,261722182
380,2014-07-16,234775948
381,2014-07-17,298279385
382,2014-07-18,208671287
383,2014-07-19,155464283
384,2014-07-20,174462836
385,2014-07-21,434191479
386,2014-07-22,369043423
387,2014-07-23,308353077
388,2014-07-24,347622431
389,2014-07-25,262874791
390,2014-07-26,282653341
391,2014-07-27,166610652
392,2014-07-28,345986909
393,2014-07-29,303480103
394,2014-07-30,250117716
395,2014-07-31,277194379
396,2014-08-01,252540858
397,2014-08-02,172250225
398,2014-08-03,127125217
399,2014-08-04,322907524
400,2014-08-05,221706539
401,2014-08-06,282346594
402,2014-08-07,253659514
403,2014-08-08,311648757
404,2014-08-09,163611708
405,2014-08-10,189909225
406,2014-08-11,418603336
407,2014-08-12,309754858
408,2014-08-13,303975517
409,2014-08-14,211939431
410,2014-08-15,236516007
411,2014-08-16,219214339
412,2014-08-17,139564084
413,2014-08-18,259169016
414,2014-08-19,254929877
415,2014-08-20,202452782
416,2014-08-21,219963356
417,2014-08-22,179349206
418,2014-08-23,199377531
419,2014-08-24,191080151
420,2014-08-25,312413411
421,2014-08-26,285478563
422,2014-08-27,468164147
423,2014-08-28,297893861
424,2014-08-29,273756380
425,2014-08-30,196374134
426,2014-08-31,292943033
